ppm,kHz,-30,100,160
575.4051478,230.2426158,-121.0708008,40.96557617,43.16015625
575.21449,230.166326,-125.5993652,44.35546875,70.19921875
575.0238322,230.0900362,-82.94604492,22.63769531,87.5
574.8331745,230.0137464,1.756347656,3.767822266,101.796875
574.6425167,229.9374566,59.30932617,5.610839844,57.74609375
574.4518589,229.8611668,14.35351563,-2.956787109,-55.01953125
574.2612011,229.784877,-101.935791,-50.18261719,-135.0078125
574.0705434,229.7085872,-161.1933594,-106.2817383,-94.578125
573.8798856,229.6322974,-100.1083984,-118.0773926,8.01171875
573.6892278,229.5560076,-13.34814453,-77.9675293,50.578125
573.4985701,229.4797178,-17.21533203,-22.9855957,16.59765625
573.3079123,229.403428,-70.34350586,18.83422852,-10.4765625
573.1172545,229.3271382,-32.64404297,43.5168457,6.984375
572.9265968,229.2508484,109.828125,44.0378418,22.03125
572.735939,229.1745586,197.2080078,12.94458008,4.484375
572.5452812,229.0982688,110.7878418,-24.80419922,-16.13671875
572.3546235,229.021979,-63.14990234,-23.92895508,-22.57421875
572.1639657,228.9456892,-152.5603027,20.30834961,-38.44140625
571.9733079,228.8693994,-112.4628906,56.40771484,-62.23046875
571.7826501,228.7931096,-38.82543945,42.23266602,-51.23046875
571.5919924,228.7168198,-16.33813477,-1.671630859,-0.41015625
571.4013346,228.64053,-39.37182617,-29.76220703,35.01953125
571.2106768,228.5642402,-66.96069336,-37.1105957,28.09765625
571.0200191,228.4879504,-77.96459961,-49.86328125,19.91796875
570.8293613,228.4116606,-67.35351563,-64.1484375,33.87890625
570.6387035,228.3353708,-42.66943359,-44.36767578,25.015625
570.4480458,228.259081,-26.30639648,6.307617188,-34.640625
570.257388,228.1827912,-21.97290039,22.21508789,-91.5078125
570.0667302,228.1065014,4.037109375,-37.15820313,-93.6328125
569.8760724,228.0302116,59.59228516,-103.3093262,-73.5234375
569.6854147,227.9539218,73.34204102,-63.28198242,-76.859375
569.4947569,227.877632,-20.01831055,84.42382813,-72.5234375
569.3040991,227.8013422,-154.3735352,198.6035156,-20.47265625
569.1134414,227.7250524,-182.3354492,161.0375977,27.7109375
568.9227836,227.6487626,-63.48510742,30.81225586,2.29296875
568.7321258,227.5724728,81.8762207,-30.92456055,-51.984375
568.5414681,227.496183,131.1491699,28.5246582,-37.3046875
568.3508103,227.4198932,89.0625,98.81420898,25.71484375
568.1601525,227.3436034,26.57910156,76.37109375,22.5859375
567.9694948,227.2673136,-20.63647461,3.132080078,-55.890625
567.778837,227.1910238,-38.33374023,-19.13671875,-83.65234375
567.5881792,227.114734,-2.146240234,14.76196289,-6.0703125
567.3975214,227.0384442,64.3972168,28.33666992,65.2265625
567.2068637,226.9621544,68.72973633,-0.977539063,35.55859375
567.0162059,226.8858646,-27.33666992,-19.32055664,-24.15234375
566.8255481,226.8095748,-119.4304199,-6.82421875,-13.515625
566.6348904,226.733285,-92.13500977,-12.75732422,23.26171875
566.4442326,226.6569952,8.325683594,-54.08813477,-9.97265625
566.2535748,226.5807054,44.09692383,-67.62988281,-74.86328125
566.0629171,226.5044156,-4.647949219,-13.56518555,-56.92578125
565.8722593,226.4281258,-31.17919922,46.04443359,29.38671875
565.6816015,226.351836,1.189697266,38.58740234,51.37109375
565.4909438,226.2755462,-1.580322266,-3.652832031,-26.234375
565.300286,226.1992564,-89.19287109,4.122314453,-84.21875
565.1096282,226.1229666,-165.074707,65.44946289,-39.96875
564.9189704,226.0466768,-136.6738281,100.8432617,35.625
564.7283127,225.970387,-62.80102539,66.55126953,49.77734375
564.5376549,225.8940972,-54.11181641,3.049072266,26.29296875
564.3469971,225.8178074,-101.3828125,-33.42138672,36.8359375
564.1563394,225.7415176,-107.213623,-26.21948242,76.51171875
563.9656816,225.6652278,-41.16430664,13.35864258,89.5625
563.7750238,225.588938,38.84570313,55.08081055,62.75390625
563.5843661,225.5126482,90.96972656,52.00952148,21.09375
563.3937083,225.4363584,116.4257813,-4.212890625,-23.5390625
563.2030505,225.3600686,98.10961914,-39.11181641,-55.0078125
563.0123928,225.2837788,14.03637695,17.2902832,-31.515625
562.821735,225.207489,-82.13110352,104.4914551,48.89453125
562.6310772,225.1311992,-90.15893555,91.69433594,104.9960938
562.4404194,225.0549094,-1.134033203,-21.97875977,71.37109375
562.2497617,224.9786196,71.08496094,-84.68823242,4.3203125
562.0591039,224.9023298,32.99951172,-16.6184082,4.64453125
561.8684461,224.82604,-75.19335938,67.09570313,63.28515625
561.6777884,224.7497502,-147.2355957,47.48168945,80.734375
561.4871306,224.6734604,-139.5861816,-2.528320313,29.16015625
561.2964728,224.5971706,-90.26123047,47.03369141,-10.4140625
561.1058151,224.5208808,-48.92211914,139.3989258,11.57421875
560.9151573,224.444591,-33.13354492,105.5344238,38.0703125
560.7244995,224.3683012,-33.72460938,-45.72363281,13.171875
560.5338418,224.2920114,-31.52709961,-110.9914551,-19.93359375
560.343184,224.2157216,-19.28076172,-2.254638672,9.66796875
560.1525262,224.1394318,-15.85620117,113.6115723,89.74609375
559.9618684,224.063142,-35.69628906,77.1652832,148.2265625
559.7712107,223.9868522,-46.73364258,-21.10302734,149.046875
559.5805529,223.9105624,-5.840576172,-0.517333984,109.3828125
559.3898951,223.8342726,56.97387695,120.921875,52.21484375
559.1992374,223.7579828,53.52758789,169.203125,-3.7578125
559.0085796,223.681693,-35.44140625,92.72851563,-28.77734375
558.8179218,223.6054032,-113.8339844,21.55957031,-9.71484375
558.6272641,223.5291134,-97.36157227,43.14648438,16.796875
558.4366063,223.4528236,-25.60375977,76.75634766,2.4921875
558.2459485,223.3765338,14.3059082,24.47900391,-47.72265625
558.0552908,223.300244,16.79760742,-71.84057617,-83.5546875
557.864633,223.2239542,27.0168457,-101.4001465,-72.55859375
557.6739752,223.1476644,27.19116211,-37.70263672,-23.67578125
557.4833174,223.0713746,-38.03173828,51.24194336,39.3515625
557.2926597,222.9950848,-136.2927246,99.69262695,93.7890625
557.1020019,222.918795,-159.9482422,91.75585938,118.1171875
556.9113441,222.8425052,-82.50195313,45.84667969,109.625
556.7206864,222.7662154,-3.737060547,2.422851563,91.609375
556.5300286,222.6899256,-3.919677734,3.706298828,75.4296875
556.3393708,222.6136358,-42.10180664,47.03344727,36.94140625
556.1487131,222.537346,-46.8605957,80.15771484,-33.21875
555.9580553,222.4610562,-25.41162109,69.18505859,-84.33984375
555.7673975,222.3847664,-18.70556641,38.69946289,-64.234375
555.5767398,222.3084766,-18.01586914,19.3996582,-2.53515625
555.386082,222.2321868,-1.842285156,3.251953125,27.9375
555.1954242,222.155897,-0.106933594,-10.67333984,18.71484375
555.0047664,222.0796072,-38.87207031,18.85986328,20.82421875
554.8141087,222.0033174,-66.4362793,101.3632813,39.43359375
554.6234509,221.9270276,-27.50195313,152.2487793,25.4140625
554.4327931,221.8507378,22.53979492,89.25415039,-13.41015625
554.2421354,221.774448,-13.96777344,-32.28149414,3.41015625
554.0514776,221.6981582,-105.3945313,-72.85766602,86.265625
553.8608198,221.6218684,-109.2695313,3.545898438,118.828125
553.6701621,221.5455786,12.5378418,86.38867188,27.15234375
553.4795043,221.4692888,115.2041016,79.3840332,-78.01171875
553.2888465,221.392999,70.62670898,14.49414063,-41.64453125
553.0981888,221.3167092,-51.53955078,-30.45483398,103.9726563
552.907531,221.2404194,-94.01342773,-43.8347168,178.7734375
552.7168732,221.1641296,-35.31518555,-52.8425293,112.5859375
552.5262154,221.0878398,8.363037109,-51.42553711,26.76171875
552.3355577,221.01155,-24.66845703,-24.14672852,29.83203125
552.1448999,220.9352602,-65.89013672,5.59765625,61.09375
551.9542421,220.8589704,-48.88427734,17.53198242,14.10546875
551.7635844,220.7826806,-14.97265625,42.73217773,-79.109375
551.5729266,220.7063908,-35.04418945,101.1096191,-93.91015625
551.3822688,220.630101,-95.33959961,134.0742188,-1.61328125
551.1916111,220.5538112,-126.9313965,86.18212891,88.40234375
551.0009533,220.4775214,-111.0322266,21.2175293,74.53125
550.8102955,220.4012316,-89.67797852,49.9206543,-23.47265625
550.6196378,220.3249418,-86.98022461,149.8510742,-111.0195313
550.42898,220.248652,-80.55615234,176.1855469,-125
550.2383222,220.1723622,-53.75561523,77.0769043,-73.59765625
550.0476644,220.0960724,-22.9675293,-20.76831055,-7.65234375
549.8570067,220.0197827,1.921630859,-1.575683594,23.875
549.6663489,219.9434929,36.76977539,71.28222656,7.66015625
549.4756911,219.8672031,76.36694336,70.27416992,-29.1171875
549.2850334,219.7909133,71.78295898,6.185546875,-51.30859375
549.0943756,219.7146235,-0.59375,-4.730712891,-48.640625
548.9037178,219.6383337,-76.73242188,63.68896484,-26.7109375
548.7130601,219.5620439,-72.30517578,110.8125,17.2890625
548.5224023,219.4857541,-6.089599609,69.09960938,80.91796875
548.3317445,219.4094643,11.38305664,-9.134033203,127.3320313
548.1410867,219.3331745,-67.33007813,-47.58911133,108.1835938
547.950429,219.2568847,-149.119873,-36.25341797,25.44921875
547.7597712,219.1805949,-127.1953125,3.873535156,-57.1953125
547.5691134,219.1043051,-33.20947266,59.73632813,-78.79296875
547.3784557,219.0280153,13.42749023,91.71118164,-39.77734375
547.1877979,218.9517255,-17.89599609,46.41674805,12.375
546.9971401,218.8754357,-37.85913086,-42.88208008,38.5
546.8064824,218.7991459,6.007568359,-53.49169922,37.6328125
546.6158246,218.7228561,40.0949707,55.66455078,33.390625
546.4251668,218.6465663,-10.88891602,149.3549805,40.484375
546.2345091,218.5702765,-87.30419922,92.26171875,44.14453125
546.0438513,218.4939867,-73.94726563,-43.20776367,20.05859375
545.8531935,218.4176969,20.74291992,-73.43896484,-19.0625
545.6625357,218.3414071,68.76831055,24.11010742,-20.2734375
545.471878,218.2651173,12.06542969,84.50732422,37.58984375
545.2812202,218.1888275,-49.18554688,14.73266602,91.2890625
545.0905624,218.1125377,-3.488525391,-74.15234375,64.609375
544.8999047,218.0362479,107.560791,-59.92456055,-15.0703125
544.7092469,217.9599581,143.1796875,0.540039063,-39.8828125
544.5185891,217.8836683,51.31445313,-14.47802734,22.546875
544.3279314,217.8073785,-68.29199219,-82.72363281,73.171875
544.1372736,217.7310887,-93.03759766,-83.17724609,30.77734375
543.9466158,217.6547989,-17.68041992,-3.536376953,-33.796875
543.7559581,217.5785091,56.06542969,43.30541992,1.53125
543.5653003,217.5022193,42.34667969,9.318847656,117.2460938
543.3746425,217.4259295,-40.31518555,-18.70117188,168.46875
543.1839847,217.3496397,-96.80932617,23.64746094,94.1015625
542.993327,217.2733499,-59.47192383,69.37792969,1.26171875
542.8026692,217.1970601,37.61425781,37.69335938,1.48046875
542.6120114,217.1207703,90.15356445,-28.10766602,55.41015625
542.4213537,217.0444805,31.83056641,-30.0715332,52.3046875
542.2306959,216.9681907,-95.80249023,29.62133789,-19.0234375
542.0400381,216.8919009,-187.8642578,57.57519531,-68.375
541.8493804,216.8156111,-180.793457,15.11425781,-46.85546875
541.6587226,216.7393213,-101.2741699,-28.92626953,-3.4921875
541.4680648,216.6630315,-22.67504883,-0.684082031,5.140625
541.2774071,216.5867417,4.817871094,85.22875977,-11.75
541.0867493,216.5104519,-17.37890625,153.2685547,-18.9609375
540.8960915,216.4341621,-52.11206055,146.0993652,-12.25390625
540.7054337,216.3578723,-59.02392578,62.00170898,-4.671875
540.514776,216.2815825,-26.43603516,-49.71044922,3.2890625
540.3241182,216.2052927,15.44848633,-113.9208984,7.234375
540.1334604,216.1290029,20.50292969,-82.7277832,-15.6484375
539.9428027,216.0527131,-23.37036133,12.89697266,-69.33203125
539.7521449,215.9764233,-75.63720703,82.69091797,-108.5859375
539.5614871,215.9001335,-85.28955078,67.88525391,-82.5546875
539.3708294,215.8238437,-48.00073242,1.902587891,-0.55078125
539.1801716,215.7475539,-7.621337891,-33.12451172,74.00390625
538.9895138,215.6712641,1.181884766,-0.922607422,91.109375
538.7988561,215.5949743,-4.799072266,53.2644043,54.63671875
538.6081983,215.5186845,12.83837891,61.8112793,3.078125
538.4175405,215.4423947,51.7824707,18.05541992,-27.2578125
538.2268827,215.3661049,63.65332031,-14.62207031,-24.1796875
538.036225,215.2898151,19.92407227,13.60205078,-5.515625
